Participant,Age at time of interview,generation,Gender,Term 1,Term 2,Term 3,Term 4 ,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10,Term 11
49,35,Millennial,1,PAIN,PAIN,DIET,light,,,,,,,
50,57,Boomer,0,EMOTION ,inconvienent,TREATMENT,SEVERE,,,,,,,
51,26,Millennial,1,PAIN,feeling,metal,TREATMENT,,,,,,,
52,17,Gen Z,1,SEVERITY,SEVERE,PAIN ,teeth,chair,dentist,psycho,,,,
53,60,Boomer,1,PAIN,TREATMENT,TREATMENT,dentist,get that for,waiting in waiting room,,,,,
54,44,Gen X,0,PAIN,TREATMENT,swelling,EMOTION,EMOTION,FEAR,TREATMENT,TREATMENT,numb,,
55,36,Millennial,0,PAIN,DIET,PAIN,HYGIENE,,,,,,,
56,68,Boomer,1,PAIN,FEAR,TREATMENT,machine,COMMON,,,,,,
57,21,Gen Z,0,not taken care of,HYGIENE,DIET,office visit,decay,rotten,,,,,
58,23,Gen Z,1,PAIN,cold,disease,EMOTION,PAIN,big lights,,,,,
59,63,Boomer,0,SEVERE,TREATMENT,TREATMENT,TREATMENT,SEVERE,PAIN,EMOTION,,,,
60,33,Millennial,0,TREATMENT,FEAR,FEAR,PAIN,PAIN,,,,,,
61,33,Millennial,0,PAIN,FEAR,DIET,PAYMENT,,,,,,,
62,26,Millennial,1,PAIN,permanent,bad breath,TREATMENT,PAYMENT,HYGIENE,HYGIENE,FEAR,,,
63,24,Millennial,0,EMOTION,EMOTION,,,,,,,,,
64,56,Boomer,1,PAIN,,,,,,,,,,
65,30,Millennial,1,TREATMENT,safe,PAYMENT,,,,,,,,
66,34,Millennial,0,negligence,PAIN,PAYMENT,odor,,,,,,,
67,29,Millennial,0,PAIN,gross,EMOTION,,,,,,,,
68,37,Millennial,0,PAIN,DIET,rotten,,,,,,,,
69,45,Gen X,1,PAIN,DIET,holes,TREATMENT,PAYMENT,HYGIENE,,,,,
70,53,Gen X,1,PAIN,smell,dentist,teeth,HYGIENE,,,,,,
71,28,Millennial,0,teeth,gingivitis,PAIN,HEART,tooth instability,,,,,,
72,70,Boomer,1,PAIN,PAYMENT,DIET,TREATMENT,,,,,,,
73,19,Gen Z,0,HYGIENE,health,HYGIENE,priority,DIET,,,,,,
74,26,Millennial,0,PAIN,work,visits/appointments,DIET,DIET,TREATMENT,,,,,
75,63,Boomer,0,TREATMENT,TREATMENT,TREATMENT,dentist,,,,,,,
76,81,Post War,1,TREATMENT,PAYMENT,,,,,,,,,
77,60,Boomer,0,PAIN,nausea,FEAR,,,,,,,,
78,27,Millennial,0,SEVERITY,PAIN,,,,,,,,,
79,37,Millennial,1,PAIN,EMOTION ,,,,,,,,,
80,36,Millennial,0,EMOTION,FEAR,PAIN,inconvienent ,,,,,,,
81,56,Boomer,1,PAIN,PAIN,,,,,,,,,
82,22,Gen Z,0,PAYMENT,something that you need,,,,,,,,,
83,23,Gen Z,1,PAIN,nasty,PAYMENT,PAYMENT,FEAR,,,,,,
84,22,Gen Z,1,PAIN,bad breath,hole in your teeth,HYGIENE,,,,,,,
85,29,Millennial,1,PAIN,PAYMENT,,,,,,,,,
86,57,Boomer,1,PAIN,PAYMENT,EMOTION,,,,,,,,
87,25,Millennial,1,not fun,EMOTION,,,,,,,,,
88,26,Millennial,1,PAIN,FEAR,HYGIENE,putting it off,EMOTION ,,,,,,
89,67,Boomer,0,PAIN,PAYMENT,,,,,,,,,
90,46,Gen X,1,PAIN,dark,FEAR,,,,,,,,
91,27,Millennial,1,infectious,PAIN,red,swollen,PAIN,,,,,,
92,38,Millennial,1,FEAR,FEAR,,,,,,,,,
93,29,Millennial,1,time to go to dentist,PAIN,DIET,TREATMENT,,,,,,,
94,36,Millennial,1,EMOTION ,PAIN,PAIN,,,,,,,,
95,18,Gen Z,1,EMOTION ,FEAR,EMOTION,EMOTION ,EMOTION,,,,,,
96,50,Gen X,1,FEAR,,,,,,,,,,
97,57,Boomer,1,PAIN,FEAR,,,,,,,,,
98,30,Millennial,1,PAIN,DIET,DIET,,,,,,,,
99,60,Boomer,1,TREATMENT,HYGIENE,DIET,,,,,,,,
100,30,Millennial,0,TREATMENT,PAIN,TREATMENT,,,,,,,,
101,66,Boomer,0,PAIN,dental health,HEART,gum disease,,,,,,,
102,68,Boomer,1,PAIN,COMMON,TREATMENT,,,,,,,,
103,76,Boomer,1,HYGIENE,don't go to the dentist,,,,,,,,,
104,66,Boomer,1,gum disease,loss of teeth,teeth falling out ,,,,,,,,
105,64,Boomer,1,TREATMENT,TREATMENT,PAIN,TREATMENT,infection,,,,,,
106,84,Post War,1,PAIN,loss of teeth,gum disease,,,,,,,,
107,50,Gen X,1,PAIN,DIET,dentist,,,,,,,,
108,22,Gen Z,0,DIET,HYGIENE,FAMILY HX,PAYMENT,PAIN ,,,,,,
109,27,Millennial,0,DIET,TREATMENT,TREATMENT,TREATMENT,,,,,,,
110,58,Boomer,0,DIET,HYGIENE,not working out,,,,,,,,
111,32,Millennial,0,HYGIENE,HYGIENE,cavities,DIET,,,,,,,
112,24,Gen Z,2,PAIN,TREATMENT,,,,,,,,,
113,68,Boomer,1,TREATMENT,dentist,,,,,,,,,
114,60,Boomer,1,PAYMENT,PAYMENT,EMOTION,EMOTION,fair,,,,,,
115,52,Gen X,1,EMOTION,HYGIENE,TREATMENT,,,,,,,,
116,57,Gen X,0,teeth health,,,,,,,,,,
117,62,Boomer,1,EMOTION,PAYMENT,TREATMENT,,,,,,,,
118,49,Gen X,1,dentist,enamel,decay,fluoride,orthodontist,,,,,,
119,24,Gen Z,2,dentist,TREATMENT,TREATMENT,PAYMENT,DIET,,,,,,
120,68,Boomer,0,COMMON,,,,,,,,,,
121,69,Boomer,1,COMMON,,,,,,,,,,
122,34,Millennial,0,children,DIET,resources,preventative,PAYMENT,,,,,,
123,38,Millennial,1,EMOTION,,,,,,,,,,
124,68,Boomer,1,PAIN,easy to avoid,HYGIENE,difficult to get rid of it,,,,,,,
125,73,Boomer,1,HYGIENE,PAIN,,,,,,,,,
126,72,Boomer,0,TREATMENT,PAIN,,,,,,,,,
127,41,Millennial,1,TREATMENT,PAIN,PAIN,,,,,,,,
128,68,Boomer,0,preventable,I didn’t treat it,,,,,,,,,
129,65,Boomer,1,preventative care,HYGIENE,TREATMENT,,,,,,,,
130,72,Boomer,0,PAIN,,,,,,,,,,
131,24,Gen Z,2,FEAR,I had a lot of cavities,PAIN,,,,,,,,
132,58,Boomer,0,parodontix,HYGIENE,HYGIENE,,,,,,,,
133,24,Gen Z,0,teeth problems,PAYMENT,,,,,,,,,
134,72,Boomer,1,PAIN,HYGIENE,TREATMENT,,,,,,,,
135,69,Boomer,0,HYGIENE,HYGIENE,DIET,,,,,,,,
136,71,Boomer,1,I had it ,dentist,,,,,,,,,
137,36,Millennial,1,PAIN,TREATMENT,HYGIENE,,,,,,,,
138,64,Boomer,0,prevention,kids,DIET,,,,,,,,
139,80,Post War,1,PAYMENT,PAYMENT,dental care,,,,,,,,
140,51,Gen X,1,PAIN,HYGIENE,,,,,,,,,
141,67,Boomer,1,PAIN,preventable,EMOTION,,,,,,,,
142,74,Boomer,0,DIET,HYGIENE,,,,,,,,,
143,42,Gen X,0,PAIN,I haf a lot as a kid,PAYMENT,,,,,,,,
144,77,Post War,0,PAIN,TREATMENT,TREATMENT,decay,,,,,,,
145,65,Boomer,0,PAIN,decay,,,,,,,,,
146,60,Boomer,1,HYGIENE,HYGIENE,poor health,HYGIENE,PAIN ,lead,,,,,
147,64,Boomer,0,lead,DIET,fluoride,HYGIENE,,,,,,,
148,72,Boomer,1,PAIN, dental care,TREATMENT,DIET,,,,,,,
149,50,Gen X,0,HYGIENE,DIET,lack of dental care ,,,,,,,,
150,22,Gen Z,1,TREATMENT,PAIN,TREATMENT,HYGIENE,HYGIENE,gingivitis,DIET,,,,
151,23,Gen Z,1,HYGIENE,,,,,,,,,,
152,81,Post War,1,PAIN,,,,,,,,,,
153,64,Boomer,1,DIET,PAIN,SEVERE,infection,HYGIENE,teeth falling out,,,,,
154,63,Boomer,0,DIET,decay,HYGIENE,HYGIENE,dentist,TREATMENT,TREATMENT,,,,
155,82,Post War,0,EMOTION,PAYMENT,dentist,TREATMENT,,,,,,,
156,84,Post War,1,PAYMENT,PAYMENT,PAIN,TREATMENT,,,,,,,
157,82,Post War,1,PAIN,TREATMENT,TREATMENT,EMOTION,,,,,,,
158,83,Post War,0,PAIN,PAIN,multiple visits,TREATMENT,TREATMENT,,,,,,
159,77,Post War,0,TREATMENT,TREATMENT,appointment,,,,,,,,
160,24,Gen Z,1,infection,TREATMENT,,,,,,,,,
161,24,Gen Z,0,enamel,TREATMENT,DIET,DIET,,,,,,,
162,50,Gen X,1,DIET,lazy,PAYMENT,PAYMENT,old age,,,,,,
163,80,Post War,1,hole ,TREATMENT,mercury,,,,,,,,
164,79,Post War,1,EMOTION,PAYMENT,TREATMENT,TREATMENT,TREATMENT,,,,,,
165,82,Post War,1,TREATMENT,DIET,HYGIENE,,,,,,,,
166,83,Post War,0,dentist,cavity,TREATMENT,PAIN,,,,,,,
167,45,Gen X,0,DIET,PAIN,hole,,,,,,,,
168,53,Gen X,0,PAIN,AGE,TREATMENT,decay,TREATMENT,PAIN,sensitive,,,,
169,57,Gen X,0,PAIN,braces,HYGIENE,,,,,,,,
170,51,Gen X,0,DIET,HYGIENE,bad habits,,,,,,,,
171,19,Gen Z,0,DIET,FAMILY HX,,,,,,,,,
172,56,Gen X,0,messed up mouth,,,,,,,,,,
173,49,Gen X,0,dentist,HYGIENE,HYGIENE,DIET,PAIN ,TREATMENT,,,,,
174,60,Boomer,1,PAIN,DIET,gum disease,,,,,,,,
175,89,Post War,1,PAIN,TREATMENT,TREATMENT,dentist,filling,,,,,,
176,62,Boomer,1,drill ,pain,filling,novacaine,TREATMENT,,,,,,
177,81,Post War,1,gum disease,TREATMENT,PAIN,TREATMENT,TREATMENT,,,,,,
178,76,Boomer,1,dental health,HYGIENE,PAIN,,,,,,,,
179,68,Boomer,0,TREATMENT,TREATMENT,kids,,,,,,,,
180,80,Post War,0,PAIN,EMOTION,,,,,,,,,
181,78,Post War,1,kids more than older people,I had many,PAYMENT,,,,,,,,
182,60,Boomer,0,PAIN,EMOTION,TREATMENT,,,,,,,,
183,79,Post War,0,TREATMENT,HYGIENE,dental care,,,,,,,,
184,81,Post War,1,TREATMENT,dentist,COMMON,,,,,,,,
185,53,Gen X,0,preventable,PAIN,HYGIENE,,,,,,,,
186,24,Gen Z,1,dental trip,PAIN,TREATMENT,TREATMENT,,,,,,,
187,35,Millennial,0,decay,TREATMENT,HYGIENE,,,,,,,,
188,47,Gen X,1,tooth decay,HYGIENE,fluoride,DIET,drugs/meth,,,,,,
189,67,Boomer,1,dentist,TREATMENT,TREATMENT,,,,,,,,
190,63,Boomer,0,PAIN,HYGIENE,HYGIENE,HYGIENE,,,,,,,
191,65,Boomer,0,PAIN,TREATMENT,TREATMENT,TREATMENT,TREATMENT,PAYMENT,PAYMENT,adequate care,age,HYGIENE,
192,61,Boomer,1,HYGIENE,PAIN,amalgam/metals,dentist,TREATMENT,TREATMENT,DIET,HYGIENE,HYGIENE,,
193,26,Millennial,0,HYGIENE,HYGIENE,,,,,,,,,
194,24,Gen Z,1,DIET,hole in tooth,TREATMENT,TREATMENT,,,,,,,
195,80,Post War,1,DIET,TREATMENT,,,,,,,,,
196,70,Boomer,0,rotting,PAIN,sensitivity,poor dental care,x ray,dentist,TREATMENT,orthodontist,TREATMENT,,
197,35,Millennial,1,PAIN,PAIN,numbness,PAIN,eye,,,,,,
198,29,Millennial,0,HYGIENE,HYGIENE,PAIN,,,,,,,,
199,28,Millennial,0,DIET,tooth decay,DIET,bad oral health,,,,,,,
200,29,Millennial,1,PAIN,TREATMENT,DIET,,,,,,,,
